pH,N,P,K,Temperature,Moisture,Organic Matter,Soil Type,Salinity,Crop
6.436350297118406,80.36217965253388,58.89541724466932,112.22202102624254,28.08612643068112,29.986809749162138,5.5198346791467685,Loamy,7.555707030995242,Wheat
7.87678576602479,87.80088383148234,30.34318172630997,77.28244336375482,16.60065139531873,39.86987090050377,3.8169294597988745,Loamy,2.4247963139561746,Wheat
7.3299848545285125,55.02807392754994,72.3436738012889,95.24192446524759,19.84659622907478,32.506671226253324,4.303363769402113,Sandy,5.232470752399799,Tomato
6.9966462104925915,77.49244597641993,56.78697434415449,69.2443468175329,30.473586929585014,13.332103324471856,6.017073478770154,Loamy,1.841885255233714,Tomato
5.890046601106091,74.30475898862491,29.432233013417253,86.70311197881944,25.573717073576393,17.423209471342215,7.134142207667558,Clay,2.812784500731108,Rice
5.889986300840507,89.96982260729627,77.74028344887242,60.65183436790068,33.559381235740894,18.773127361236767,2.90553160587843,Clay,5.160052921737911,Rice
5.6452090304204985,94.36522362887564,51.10192780011924,57.10431178069008,23.575028166827085,20.314570145793795,3.3945375717974953,Sandy,7.350138084607978,Rice
7.6654403644373375,40.72940628864321,24.3739071122993,82.04068075525623,32.39624731627846,32.61613567802017,7.515175774536889,Sandy,0.9465438039363916,Corn
7.002787529358022,80.44119514352755,57.60997426490403,74.83167067655823,23.97910874956475,30.15863119301574,5.049582546866118,Clay,2.9669669762808617,Tomato
7.270181444490113,43.11014794718374,35.19193442076862,82.1582732234983,34.58496557403971,18.12640153456836,2.252732719945007,Clay,9.266213485719222,Corn
5.551461235739506,72.93151990464136,68.22160711263814,55.79945231583207,34.19668762797754,12.702193738227482,5.645865972386679,Sandy,4.2912331778188815,Rice
7.924774630404986,57.25796374262069,69.06932441397143,63.02620486352957,21.582734111121606,16.857288178988725,7.935335088775657,Clay,9.388696739093144,Tomato
7.5811066020010545,58.40659597132847,78.73684135127971,37.55081645660184,32.71847340833607,49.37525250474413,6.764174951292801,Clay,9.914005415521356,Tomato
6.0308477766956905,61.177510207141395,50.11217186147022,34.704873504498515,31.952227484312985,28.74187799165889,6.220187955859819,Sandy,5.26659826111416,Corn
5.954562418017751,77.27754694297661,47.29741278366423,52.81114167057146,19.213607946551257,44.6938201880845,2.4563265798638847,Loamy,2.8804400978485054,Rice
5.958511274633585,60.042997940126156,65.20853632678885,36.682217339749116,27.485808015665395,43.95009866675373,7.132978492788051,Clay,7.90776808572579,Rice
6.260605607398844,83.96194303541682,27.948239380515595,39.339723777126665,16.453646311796298,30.46078229851495,4.680521904748825,Loamy,1.5931073552501496,Corn
6.811891079080595,64.27164313443218,52.81493082758745,103.16355648545434,31.73421441166923,38.26750833842174,7.225030154503689,Loamy,2.520468596720705,Tomato
6.579862546605289,44.101192018597516,52.77485600785106,33.498632731502035,18.49091767006993,17.71008041650849,3.308794805974155,Clay,7.848799094992822,Tomato
6.228072850495105,87.02559054904643,25.36838736862323,89.30485145412685,16.41629402771529,37.53586819707633,1.4343573684480293,Loamy,4.336459247320299,Wheat
7.0296322368059485,57.14549947556236,45.07904513041481,54.53019739338605,23.004381910776225,20.89538317053158,4.331831780618223,Sandy,2.0153793698766673,Corn
5.848734651630105,65.96601277595576,71.19708791403212,108.43911126373138,26.53844277199287,43.28248387016603,2.888863233725144,Clay,6.511257449523244,Rice
6.230361621338045,81.12663299331409,71.36921731967962,73.64930561197497,32.09833917119542,13.348965324356396,6.0066050284340875,Clay,7.327618613816829,Corn
6.4159046082342295,59.94736942892272,25.95425989518086,57.501881339504315,34.484850510434725,40.925546915411104,7.699745869992227,Loamy,1.2507123945056908,Corn
6.6401749605425895,43.39513936880294,25.44325296486985,76.58750421204911,23.789850251397272,13.997476262744781,5.836819058060947,Clay,2.769802599749341,Corn
7.462939903482534,62.43526282076881,35.761728620116116,64.37622171407419,16.208938459705404,45.24756947577236,7.208537507964424,Clay,2.2127675537223324,Corn
5.999184455395899,96.66691496165821,72.48596375323962,80.78709582028472,29.98231158051741,22.16818072540015,4.1711680952084444,Loamy,3.7985462876245215,Rice
6.785586096034029,78.50406383791349,27.734155104409936,40.307958149371345,26.30346512447875,36.17573459322299,6.401485160367112,Loamy,7.634448955760645,Corn
6.981036422155106,80.28874892003242,63.19980815764678,119.7291452531296,23.957826896889262,29.500091144811194,6.901304056701925,Clay,7.137081022743242,Tomato
5.616126031799994,77.9369292182584,26.069937176786194,68.30002899270457,21.185377575843795,24.65212581049356,5.976129393084797,Clay,6.625239103837039,Rice
7.018862129753596,51.93952833756621,57.38827122486952,61.34075757366318,25.047970556870712,35.81767332733986,4.554441002486953,Sandy,0.06285545868591202,Tomato
5.926310309218229,65.1000318461368,41.36403794714869,93.91888634846384,21.77359208914062,47.90091922204952,5.381062767307577,Sandy,1.4214331338038944,Rice
5.662628982463199,85.0563879017991,67.33483777795202,62.75094658457992,30.140237354947207,11.650789894984875,5.903548969752162,Clay,2.232975491020668,Rice
